Month,marvins room: (United States),Drake: (United States),marvin_babyname_rank
2004-01,0,2,
2004-02,0,2,
2004-03,0,2,
2004-04,0,2,
2004-05,0,2,
2004-06,0,2,
2004-07,0,2,
2004-08,0,2,
2004-09,0,2,
2004-10,0,2,
2004-11,0,2,
2004-12,0,2,353
2005-01,0,2,
2005-02,0,2,
2005-03,0,2,
2005-04,0,2,
2005-05,0,2,
2005-06,0,2,
2005-07,0,2,
2005-08,0,2,
2005-09,0,2,
2005-10,0,2,
2005-11,0,2,
2005-12,0,2,366
2006-01,0,2,
2006-02,0,2,
2006-03,0,2,
2006-04,0,2,
2006-05,0,2,
2006-06,0,2,
2006-07,0,2,
2006-08,0,1,
2006-09,0,2,
2006-10,0,2,
2006-11,0,2,
2006-12,0,2,345
2007-01,0,2,
2007-02,0,2,
2007-03,0,2,
2007-04,0,2,
2007-05,0,2,
2007-06,0,2,
2007-07,0,2,
2007-08,0,2,
2007-09,0,2,
2007-10,0,2,
2007-11,0,2,
2007-12,0,2,358
2008-01,0,2,
2008-02,0,2,
2008-03,0,3,
2008-04,0,2,
2008-05,0,2,
2008-06,0,2,
2008-07,0,2,
2008-08,0,2,
2008-09,0,3,
2008-10,0,3,
2008-11,0,3,
2008-12,0,4,372
2009-01,0,4,
2009-02,0,7,
2009-03,0,9,
2009-04,0,12,
2009-05,0,22,
2009-06,0,27,
2009-07,0,28,
2009-08,0,26,
2009-09,0,27,
2009-10,0,25,
2009-11,0,22,
2009-12,0,21,415
2010-01,0,22,
2010-02,0,22,
2010-03,0,28,
2010-04,0,32,
2010-05,0,41,
2010-06,0,57,
2010-07,0,44,
2010-08,0,40,
2010-09,0,39,
2010-10,0,39,
2010-11,0,38,
2010-12,0,34,431
2011-01,0,34,
2011-02,0,31,
2011-03,0,22,
2011-04,0,24,
2011-05,0,25,
2011-06,10,38,
2011-07,9,33,
2011-08,7,43,
2011-09,5,40,
2011-10,4,54,
2011-11,4,100,
2011-12,3,73,471
2012-01,2,64,
2012-02,1,48,
2012-03,1,41,
2012-04,1,40,
2012-05,1,38,
2012-06,1,56,
2012-07,1,31,
2012-08,1,28,
2012-09,1,26,
2012-10,1,23,
2012-11,1,21,
2012-12,1,19,472
2013-01,1,20,
2013-02,1,32,
2013-03,1,28,
2013-04,1,29,
2013-05,1,29,
2013-06,1,28,
2013-07,1,29,
2013-08,1,41,
2013-09,1,76,
2013-10,1,53,
2013-11,1,44,
2013-12,0,37,495
2014-01,0,38,
2014-02,0,30,
2014-03,0,31,
2014-04,0,34,
2014-05,0,31,
2014-06,0,33,
2014-07,0,31,
2014-08,0,33,
2014-09,0,26,
2014-10,0,29,
2014-11,0,27,
2014-12,0,31,493
2015-01,0,22,
2015-02,0,51,
2015-03,0,35,
2015-04,0,34,
2015-05,0,28,
2015-06,0,25,
2015-07,0,72,
2015-08,0,61,
2015-09,0,62,
2015-10,0,58,
2015-11,0,37,
2015-12,0,32,549
2016-01,0,38,
2016-02,0,41,
2016-03,0,28,
2016-04,0,75,
2016-05,0,82,
2016-06,0,51,
2016-07,0,49,
2016-08,0,57,
2016-09,0,41,
2016-10,0,38,
2016-11,0,34,
2016-12,0,38,544
2017-01,0,29,
2017-02,0,25,
2017-03,0,47,
2017-04,0,29,
2017-05,0,27,
2017-06,0,22,
2017-07,0,19,
2017-08,0,16,
2017-09,0,14,
2017-10,0,15,
2017-11,0,15,
2017-12,0,14,559
2018-01,0,20,
2018-02,0,24,
2018-03,0,22,
2018-04,0,25,
2018-05,0,52,
2018-06,0,61,
2018-07,0,68,
2018-08,0,35,
2018-09,0,31,
2018-10,0,29,
2018-11,0,19,
2018-12,0,24,580
2019-01,0,20,
2019-02,0,18,
2019-03,0,14,
2019-04,0,13,
2019-05,0,21,
2019-06,0,24,
2019-07,0,14,
2019-08,0,16,
2019-09,0,12,
2019-10,0,12,
2019-11,0,15,
2019-12,0,15,834
2020-01,0,13,
2020-02,0,12,
2020-03,0,19,
2020-04,0,19,
2020-05,0,17,
2020-06,0,12,
2020-07,0,13,
2020-08,0,15,
2020-09,0,13,
2020-10,0,13,
2020-11,0,11,
2020-12,0,12,1073
2021-01,0,12,
2021-02,0,12,
2021-03,0,16,
2021-04,0,12,
2021-05,0,14,
2021-06,0,12,
2021-07,0,14,
2021-08,0,15,
2021-09,0,32,
2021-10,0,14,
2021-11,0,14,
2021-12,0,15,796
2022-01,0,17,
2022-02,0,15,
2022-03,0,12,
2022-04,0,13,
2022-05,0,12,
2022-06,0,19,
2022-07,0,14,
2022-08,0,14,
2022-09,0,12,
2022-10,0,13,
2022-11,0,26,
2022-12,0,14,1155
2023-01,0,15,
2023-02,0,15,
